日期,场景ID,场景名字,原二级场景ID,原二级场景名字,计划ID,计划名字,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额
2025/2/13 16:00,108,超级直播,108,超级直播,6845496784,PY_早场,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0,0,0,0,,
2025/2/13 16:00,108,超级直播,108,超级直播,6842845292,PY_中场,595,43,4.72,0.07227,0.11,7.93,0,0,0,0,0,0,9.9,0,9.9,1,1,0,0.02326,2.1,4.72,0,0,0,0,0,0,,0,,0,,0,,0,,1,92.6,0,0,0,0,0,2,131,0,0,,0,0,0.22017,100,,0,,0,0,0,0,,
2025/2/13 15:00,108,超级直播,108,超级直播,6845496784,PY_早场,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0,0,0,0,,
2025/2/13 15:00,108,超级直播,108,超级直播,6842845292,PY_中场,208,18,91.34,0.08654,5.07,439.14,0,0,0,0,0,0,205,0,205,4,4,0,0.22222,2.24,22.84,0,0,0,0,0,0,,0,,0,,0,,0,,4,370.4,0,0,0,0,0,0,94,0,0,,0,0,0.45192,74,,0,,0,0,0,0,,
2025/2/13 14:00,108,超级直播,108,超级直播,6845496784,PY_早场,0,1,0.06,,0.06,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,2,2,0,0,,2,0.03,2,0.03,0,,0,0.03,0,0,0,0,0,0,0,0,11,0,0,,0,0,,8,,0,,0,0,0,0,,
2025/2/13 14:00,108,超级直播,108,超级直播,6842845292,PY_中场,206,19,10.84,0.09223,0.57,52.6,0,0,0,0,0,0,92.6,0,92.6,1,1,0,0.05263,8.55,10.84,2,0,2,0.10526,0,1,10.84,3,3.61,2,5.42,1,,0,5.42,1,92.6,0,0,1,0,0,0,65,0,0,,0,0,0.31553,53,,0,,0,0,0,0,,
2025/2/13 13:00,108,超级直播,108,超级直播,6845496784,PY_早场,4624,432,399.94,0.09343,0.93,86.49,0,0,0,0,0,0,29.7,0,29.7,3,3,0,0.00694,0.07,133.31,1,0,1,0.00231,0,2,199.97,3,133.31,1,399.94,2,,0,399.94,4,370.4,0,0,0,0,0,3,328,0,0,,0,0,0.07093,257,,0,,0,29.7,3,0,,
2025/2/13 11:00,108,超级直播,108,超级直播,6845496784,PY_早场,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0,0,0,0,,
2025/2/12 23:00,108,超级直播,108,超级直播,9167257466,年货节直播计划推广_20250106_192647,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0,0,0,0,0,0,0,3,0,0,,,0,,2,,0,,0,0,0,0,,
2025/2/12 22:00,108,超级直播,108,超级直播,9167257466,年货节直播计划推广_20250106_192647,189,33,123.55,0.1746,3.74,653.7,0,0,0,0,0,0,149,648,797,3,1,2,0.09091,6.45,41.18,8,0,8,0.24242,0,1,123.55,9,13.73,8,15.44,1,,0,15.44,3,1500,0,0,1,0,0,3,203,0,0,,0,0,1.07407,118,,0,,0,0,0,0,,
2025/2/12 22:00,108,超级直播,108,超级直播,6832775547,PY_晚场,129,17,51.7,0.13178,3.04,400.78,0,0,0,0,0,0,102.5,0,102.5,2,2,0,0.11765,1.98,25.85,0,0,0,0,0,0,,0,,0,,0,,0,,2,185.2,0,0,0,0,0,0,42,0,0,,0,0,0.32558,20,,0,,0,0,0,0,,
2025/2/12 21:00,108,超级直播,108,超级直播,9167257466,年货节直播计划推广_20250106_192647,508,36,195.92,0.07087,5.44,385.66,0,0,0,0,0,0,2927.15,0,2927.15,2,2,0,0.05556,14.94,97.96,4,1,3,0.11111,0,1,195.92,5,39.18,4,48.98,1,,0,48.98,2,3900,0,0,1,0,0,2,226,0,0,,0.05556,2,0.44488,113,,0,,0,0,0,0,,
2025/2/12 21:00,108,超级直播,108,超级直播,6832775547,PY_晚场,189,7,74.5,0.03704,10.64,394.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,20,0,0,,0,0,0.10582,14,,0,,0,0,0,0,,
2025/2/12 20:00,108,超级直播,108,超级直播,9167257466,年货节直播计划推广_20250106_192647,884,166,145.86,0.18778,0.88,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,1,92.6,0,0,0,0,0,1,123,0,0,,0,0,0.13914,80,,0,,0,0,0,0,,
2025/2/12 20:00,108,超级直播,108,超级直播,6832775547,PY_晚场,237,17,38.28,0.07173,2.25,161.52,0,0,0,0,0,0,0,185.2,185.2,2,0,2,0.11765,4.84,19.14,1,0,1,0.05882,0,0,,1,38.28,1,38.28,0,,0,38.28,2,185.2,0,0,0,0,0,1,32,0,0,,0,0,0.13502,12,,0,,0,0,0,0,,
2025/2/12 19:00,108,超级直播,108,超级直播,6832775547,PY_晚场,179,47,66.2,0.26257,1.41,369.82,0,0,0,0,0,0,2778,453,3231,2,1,1,0.04255,48.81,33.1,5,1,4,0.10638,0,2,33.1,7,9.46,5,13.24,2,,0,13.24,2,4058,0,0,1,0,0,2,124,0,0,,0.02128,1,0.69274,73,,0,,0,2778,1,0,,
2025/2/12 15:00,108,超级直播,108,超级直播,6845496784,PY_早场,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0,0,0,0,,
2025/2/12 15:00,108,超级直播,108,超级直播,6842845292,PY_中场,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0,0,0,0,,
2025/2/12 14:00,108,超级直播,108,超级直播,6842845292,PY_中场,9,3,0.35,0.33333,0.12,38.44,0,0,0,0,0,0,0,2658,2658,1,0,1,0.33333,7682.53,0.35,6,0,6,2,0,0,,6,0.06,6,0.06,0,,0,0.06,1,3600,0,0,0,0,0,1,15,0,0,,0,0,1.66667,10,,0,,0,2658,1,0,,
2025/2/12 13:00,108,超级直播,108,超级直播,6845496784,PY_早场,484,43,36.88,0.08884,0.86,76.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,20,0,0,,0,0,0.04132,6,,0,,0,0,0,0,,
2025/2/12 12:00,108,超级直播,108,超级直播,6845496784,PY_早场,532,23,109.99,0.04323,4.78,206.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,0.08696,0,0,,2,55,2,55,0,,0,55,0,0,0,0,0,0,0,0,53,0,0,,0,0,0.09962,25,,0,,0,0,0,0,,
2025/2/12 11:00,108,超级直播,108,超级直播,6845496784,PY_早场,242,18,84.59,0.07438,4.7,349.56,0,0,0,0,0,0,112.4,773,885.4,4,3,1,0.22222,10.47,21.15,0,0,0,0,0,1,84.59,1,84.59,0,,1,,0,,4,1777.8,0,0,0,0,0,1,138,0,0,,0,0,0.57025,104,,0,,0,112.4,3,0,,
